2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:29,518 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:49:29,518 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:49:29,518 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:49:33,523 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:33,524 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:49:33,524 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:49:33,524 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:41,536 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:49:41,536 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:49:41,536 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:49:57,458 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:49:57,459 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:49:57,459 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:50:29,501 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:50:29,502 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:50:29,502 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:50:29,502 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:51:33,480 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:33,481 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=13
2022-06-19 12:51:33,481 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=14
2022-06-19 12:51:33,481 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnClose>,onclose from route server handle=15 
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<155>|<Connect>,Connecting to DB Storage Server 127.0.0.1:10600
2022-06-19 12:51:37,486 [INFO  IM] - <RouteServConn.cpp>|<126>|<Connect>,Connecting to RouteServer localhost:8200 
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=7
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=8
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=9
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=10
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=11
2022-06-19 12:51:37,486 [INFO  IM] - <DBServConn.cpp>|<187>|<OnClose>,onclose from db server handle=12
